transaction_id,date,amount,merchant_name,category,payment_channel,pending
tx_40197d80433d,2025-12-05 08:22:52,-14.4,Netflix,"[""Entertainment"", ""Subscriptions""]",online,False
tx_901486176a24,2025-12-04 07:17:08,479.82,Transfer to Checking,"[""Transfer"", ""Bank""]",online,True
tx_8af12123e4d6,2025-12-01 12:44:30,611.24,Transfer to Checking,"[""Transfer"", ""Bank""]",online,False
tx_8a17852cdd36,2025-12-01 11:03:25,-345.7,Concert Tickets,"[""Entertainment"", ""Tickets""]",online,False
tx_832cb1936698,2025-11-30 18:08:48,-13.42,Best Buy,"[""Shopping"", ""Electronics""]",online,False
tx_3102686ab903,2025-11-30 12:04:28,-9.33,Local Grocery Store,"[""Food"", ""Groceries""]",online,False
tx_238fa8e5a123,2025-11-30 08:28:21,-35.28,Walmart Supercenter,"[""Shopping"", ""Retail""]",in store,False
tx_47eec1eacaee,2025-11-29 12:42:06,-9.2,Whole Foods Market,"[""Food"", ""Groceries""]",in store,False
tx_a619eeacc2c0,2025-11-29 12:29:08,-9.9,Target,"[""Shopping"", ""Retail""]",in store,False
tx_cbdb19d8c9a3,2025-11-29 09:25:42,-388.82,Airbnb,"[""Travel"", ""Lodging""]",in store,False
tx_223babc885eb,2025-11-28 12:48:27,-13.06,Google *Play,"[""Technology"", ""Subscriptions""]",online,False
tx_27e86403889e,2025-11-26 20:44:07,1387.84,Payment - Thank You,"[""Payment"", ""Credit Card""]",online,False
tx_d1a7add68f24,2025-11-26 13:59:47,-220.49,Concert Tickets,"[""Entertainment"", ""Tickets""]",in store,False
tx_d8a83f577d12,2025-11-26 12:16:12,-4.98,IKEA,"[""Shopping"", ""Home""]",in store,False
tx_b0c9a0784db1,2025-11-26 07:16:18,-34.46,Chevron,"[""Transportation"", ""Gas & Fuel""]",online,False
tx_6cff2cd9a1ae,2025-11-25 22:59:27,-8.73,Local Grocery Store,"[""Food"", ""Groceries""]",in store,False
tx_438e5d7ffb9d,2025-11-25 12:18:01,-9.08,Comcast,"[""Utilities"", ""Internet""]",in store,False
tx_db8902481f6e,2025-11-23 13:24:05,59.3,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_9e00ec61f409,2025-11-23 12:01:43,-5.07,Starbucks,"[""Food"", ""Coffee""]",online,True
tx_d462bea813ce,2025-11-23 04:58:36,-76.92,Marriott Hotels,"[""Travel"", ""Lodging""]",in store,False
tx_305ca9a45bc4,2025-11-21 19:03:47,125.63,Payment - Thank You,"[""Payment"", ""Credit Card""]",online,False
tx_3bb5cf87de47,2025-11-21 13:57:24,-1350.0,Rent - Apt 2B,"[""Housing"", ""Rent""]",in store,False
tx_a6306654a2f9,2025-11-21 09:49:42,-5.85,Local Grocery Store,"[""Food"", ""Groceries""]",in store,False
tx_a103c251bf46,2025-11-20 22:56:08,1595.68,WholePay,"[""Payment"", ""Credit Card""]",online,False
tx_bb95d8897533,2025-11-20 22:02:39,-20.66,AT&T Wireless,"[""Utilities"", ""Cell Phone""]",in store,False
tx_f9592d7fd2bd,2025-11-20 08:49:02,-11.89,Local Grocery Store,"[""Food"", ""Groceries""]",online,False
tx_cd9903deb2e3,2025-11-19 13:44:08,-3.02,Electric Vehicle Charge,"[""Transportation"", ""Gas & Fuel""]",in store,False
tx_ecb8b2632b2d,2025-11-17 08:21:23,-87.96,Marriott Hotels,"[""Travel"", ""Lodging""]",online,False
tx_b1f9ae7681d5,2025-11-15 12:47:59,-14.81,Chevron,"[""Transportation"", ""Gas & Fuel""]",online,False
tx_91c8c292aaea,2025-11-15 12:17:25,-8.05,Best Buy,"[""Shopping"", ""Electronics""]",online,False
tx_57fd7bf507e3,2025-11-14 13:16:24,-26.68,Apple Services,"[""Technology"", ""Subscriptions""]",online,False
tx_4d07e21095f3,2025-11-13 08:10:28,-8.67,Walmart Supercenter,"[""Shopping"", ""Retail""]",online,False
tx_a586cfca1992,2025-11-10 18:15:02,-260.69,Southwest Airlines,"[""Travel"", ""Airfare""]",online,False
tx_1710986752ba,2025-11-10 14:51:55,-16.56,Spotify,"[""Entertainment"", ""Subscriptions""]",online,False
tx_71bdde6631c2,2025-11-09 08:23:51,-30.67,Chevron,"[""Transportation"", ""Gas & Fuel""]",in store,False
tx_5f2a8da877bb,2025-11-09 07:37:42,-5.72,Unknown Merchant,"[""Uncategorized""]",in store,False
tx_e533203a7d35,2025-11-08 19:00:04,27.37,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_b4b1dcf77e28,2025-11-08 18:45:08,-44.19,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",in store,False
tx_ed0c5ff2ca64,2025-11-06 22:59:00,-9.7,Costco,"[""Shopping"", ""Wholesale""]",in store,False
tx_7c322b6dc954,2025-11-05 13:10:01,-14.15,Walmart Supercenter,"[""Shopping"", ""Retail""]",in store,False
tx_4d31b9bc4fa2,2025-11-05 08:47:28,-10.02,Amazon Marketplace,"[""Shopping"", ""Online""]",online,False
tx_437ac6da1ae5,2025-11-04 12:32:50,1531.01,WholePay,"[""Payment"", ""Credit Card""]",online,False
tx_61b389b3edf9,2025-11-03 12:31:08,-26.33,Trader Joe's,"[""Food"", ""Groceries""]",in store,False
tx_08b3ecfc7e78,2025-11-03 10:59:36,41.0,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_609b4faf0415,2025-11-02 18:30:58,79.43,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_0b4feb183f8e,2025-11-01 18:03:25,-4.17,Local Grocery Store,"[""Food"", ""Groceries""]",online,False
tx_0997c642d8aa,2025-11-01 08:13:42,-16.42,IKEA,"[""Shopping"", ""Home""]",online,False
tx_8fe8a81da977,2025-10-30 21:23:34,-7.71,City Utilities,"[""Utilities"", ""Electric""]",online,False
tx_833cfce3e8b9,2025-10-30 13:08:48,-23.34,AT&T Wireless,"[""Utilities"", ""Cell Phone""]",in store,False
tx_18a98b5cc5cc,2025-10-30 09:10:50,-9.75,Trader Joe's,"[""Food"", ""Groceries""]",in store,False
tx_46908015a250,2025-10-28 16:58:02,-19.14,Verizon Wireless,"[""Utilities"", ""Cell Phone""]",online,False
tx_c7fe5f2a01af,2025-10-27 21:42:48,-63.92,Target,"[""Shopping"", ""Retail""]",in store,False
tx_2574949e3e90,2025-10-26 18:47:14,1484.78,Payment - Thank You,"[""Payment"", ""Credit Card""]",online,False
tx_a7e1c362359c,2025-10-25 13:52:00,-24.31,Spotify,"[""Entertainment"", ""Subscriptions""]",online,False
tx_b3d2f61d836c,2025-10-25 07:21:26,12.84,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_c72e3997bbd7,2025-10-24 22:46:55,-52.64,Costco,"[""Shopping"", ""Wholesale""]",in store,False
tx_2b07c2a02393,2025-10-24 13:57:43,-66.37,Parking Garage,"[""Transportation"", ""Parking""]",in store,False
tx_eeede29fba4c,2025-10-24 13:57:35,1702.89,Payment - Thank You,"[""Payment"", ""Credit Card""]",online,False
tx_db5ad5c5a11f,2025-10-24 12:24:36,-7.19,City Utilities,"[""Utilities"", ""Electric""]",in store,False
tx_62e4f9cbc1cf,2025-10-23 13:08:10,-1250.0,Rent - Apt 2B,"[""Housing"", ""Rent""]",in store,False
tx_e4527f70fb31,2025-10-23 09:59:44,-27.27,Apple Services,"[""Technology"", ""Subscriptions""]",online,False
tx_eebd2b3e636a,2025-10-23 07:48:10,-6.71,IKEA,"[""Shopping"", ""Home""]",online,False
tx_4facff198a60,2025-10-21 20:06:13,-4.11,City Utilities,"[""Utilities"", ""Electric""]",in store,False
tx_b2e2957c2d30,2025-10-21 12:19:43,1603.7,Payment - Thank You,"[""Payment"", ""Credit Card""]",online,False
tx_a94f40e9a916,2025-10-20 20:13:33,-78.21,McDonald's,"[""Food"", ""Fast Food""]",in store,False
tx_4fc392f0aca9,2025-10-20 19:43:10,-81.26,Airbnb,"[""Travel"", ""Lodging""]",in store,False
tx_063dde0eb57e,2025-10-20 13:31:57,-4.34,Whole Foods Market,"[""Food"", ""Groceries""]",online,False
tx_f6da416a1304,2025-10-19 12:26:29,-21.4,IKEA,"[""Shopping"", ""Home""]",in store,False
tx_cdd21da2fc6f,2025-10-19 09:27:53,-27.62,Netflix,"[""Entertainment"", ""Subscriptions""]",online,False
tx_5ab15655947b,2025-10-17 19:03:17,-38.57,Target,"[""Shopping"", ""Retail""]",in store,False
tx_11978602c297,2025-10-17 08:30:31,-30.93,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",in store,False
tx_06bac66e67b0,2025-10-17 03:14:53,-10.0,Verizon Wireless,"[""Utilities"", ""Cell Phone""]",in store,False
tx_bf7b165ea8ac,2025-10-16 21:18:34,1215.16,WholePay,"[""Payment"", ""Credit Card""]",online,True
tx_b2579b4f2603,2025-10-16 18:45:09,-15.2,Uber *Trip,"[""Travel"", ""Taxi""]",in store,True
tx_d66b8c1ec846,2025-10-15 12:57:34,-17.55,Target,"[""Shopping"", ""Retail""]",online,False
tx_169eb2e862ce,2025-10-13 20:50:09,-28.26,AT&T Wireless,"[""Utilities"", ""Cell Phone""]",in store,False
